TIMESTAMPTIME,COUNTRY, TERMINAL, SENSOR,TEMPBLUE,TEMPYELLOW,TEMPRED, X, Y, Z, TIMESTAMPDATE
7:14,108,1,1,2231,2193,2225,461,476,485,2/1/2017
7:19,108,1,1,2231,2187,2225,469,482,492,2/1/2017
7:24,108,1,1,2231,2193,2225,471,485,496,2/1/2017
7:29,108,1,1,2231,2193,2225,467,480,491,2/1/2017
7:34,108,1,1,2231,2193,2225,467,479,490,2/1/2017
7:39,108,1,1,2231,2187,2225,474,487,498,2/1/2017
7:44,108,1,1,2231,2193,2225,473,486,497,2/1/2017
7:49,108,1,1,2231,2193,2225,470,483,494,2/1/2017
7:54,108,1,1,2231,2187,2225,469,481,493,2/1/2017
7:59,108,1,1,2231,2187,2225,469,481,492,2/1/2017
8:04,108,1,1,2231,2187,2218,465,477,487,2/1/2017
8:09,108,1,1,2225,2187,2218,463,476,487,2/1/2017
8:14,108,1,1,2225,2187,2218,465,478,489,2/1/2017
8:19,108,1,1,2225,2187,2218,466,479,490,2/1/2017
8:24,108,1,1,2225,2187,2218,466,479,490,2/1/2017
8:29,108,1,1,2225,2187,2218,466,478,490,2/1/2017
8:34,108,1,1,2225,2187,2218,467,479,490,2/1/2017
8:39,108,1,1,2225,2187,2218,469,482,493,2/1/2017
8:44,108,1,1,2225,2187,2218,469,482,493,2/1/2017
8:49,108,1,1,2225,2187,2218,466,478,490,2/1/2017
8:54,108,1,1,2225,2181,2218,463,475,484,2/1/2017
8:59,108,1,1,2225,2181,2218,463,476,487,2/1/2017
9:04,108,1,1,2225,2181,2218,465,479,490,2/1/2017
9:09,108,1,1,2225,2181,2218,467,480,491,2/1/2017
9:14,108,1,1,2225,2181,2218,467,480,490,2/1/2017
9:19,108,1,1,2225,2181,2218,465,477,489,2/1/2017
9:24,108,1,1,2225,2181,2218,465,477,489,2/1/2017
9:29,108,1,1,2225,2181,2218,467,479,490,2/1/2017
9:34,108,1,1,2225,2181,2218,469,482,492,2/1/2017
9:39,108,1,1,2225,2181,2218,469,482,493,2/1/2017
9:44,108,1,1,2225,2181,2218,464,476,486,2/1/2017
9:49,108,1,1,2225,2181,2218,464,477,488,2/1/2017
9:54,108,1,1,2225,2181,2218,464,477,488,2/1/2017
9:59,108,1,1,2225,2181,2212,462,474,486,2/1/2017
10:04,108,1,1,2225,2181,2212,462,474,486,2/1/2017
10:09,108,1,1,2225,2181,2212,465,477,489,2/1/2017
10:14,108,1,1,2225,2181,2212,468,480,492,2/1/2017
10:19,108,1,1,2218,2181,2212,468,481,492,2/1/2017
10:24,108,1,1,2218,2181,2212,467,480,492,2/1/2017
10:29,108,1,1,2218,2181,2212,465,477,490,2/1/2017
10:34,108,1,1,2225,2181,2218,463,475,485,2/1/2017
10:39,108,1,1,2225,2181,2218,462,474,485,2/1/2017
10:44,108,1,1,2218,2181,2212,464,477,488,2/1/2017
10:49,108,1,1,2218,2181,2212,466,479,490,2/1/2017
10:54,108,1,1,2218,2181,2212,462,475,486,2/1/2017
10:59,108,1,1,2218,2181,2212,464,476,488,2/1/2017
11:04,108,1,1,2218,2181,2212,467,479,491,2/1/2017
11:09,108,1,1,2218,2181,2212,468,481,492,2/1/2017
11:14,108,1,1,2218,2181,2212,468,481,493,2/1/2017
11:19,108,1,1,2218,2181,2212,468,481,492,2/1/2017
11:24,108,1,1,2218,2181,2206,463,474,484,2/1/2017
11:29,108,1,1,2218,2181,2206,464,476,487,2/1/2017
11:34,108,1,1,2218,2181,2212,465,478,489,2/1/2017
11:39,108,1,1,2218,2181,2206,462,474,486,2/1/2017
11:44,108,1,1,2218,2181,2212,462,473,485,2/1/2017
11:49,108,1,1,2218,2175,2212,467,480,491,2/1/2017
11:54,108,1,1,2218,2175,2212,467,480,491,2/1/2017
11:59,108,1,1,2218,2175,2212,465,477,489,2/1/2017
12:04,108,1,1,2218,2175,2212,467,480,491,2/1/2017
12:09,108,1,1,2218,2175,2212,466,479,491,2/1/2017
12:14,108,1,1,2218,2181,2212,464,477,487,2/1/2017
12:19,108,1,1,2218,2175,2212,461,473,486,2/1/2017
12:24,108,1,1,2218,2175,2212,462,474,486,2/1/2017
12:29,108,1,1,2218,2175,2212,465,478,489,2/1/2017
12:34,108,1,1,2218,2175,2206,461,473,485,2/1/2017
12:39,108,1,1,2218,2175,2212,465,477,489,2/1/2017
12:44,108,1,1,2218,2175,2212,468,480,492,2/1/2017
12:49,108,1,1,2218,2175,2212,465,477,489,2/1/2017
12:54,108,1,1,2212,2175,2212,467,480,491,2/1/2017
12:59,108,1,1,2218,2175,2212,465,477,488,2/1/2017
13:04,108,1,1,2218,2175,2212,470,483,493,2/1/2017
13:09,108,1,1,2218,2175,2212,462,474,486,2/1/2017
13:14,108,1,1,2218,2175,2212,463,475,487,2/1/2017
13:19,108,1,1,2218,2175,2212,464,478,489,2/1/2017
13:24,108,1,1,2218,2175,2212,461,473,485,2/1/2017
13:29,108,1,1,2218,2175,2212,468,481,492,2/1/2017
13:34,108,1,1,2218,2175,2212,466,479,491,2/1/2017
13:39,108,1,1,2218,2175,2212,467,479,491,2/1/2017
13:44,108,1,1,2218,2175,2212,464,476,488,2/1/2017
13:49,108,1,1,2218,2175,2212,467,479,490,2/1/2017
13:54,108,1,1,2212,2175,2212,464,476,486,2/1/2017
13:59,108,1,1,2212,2175,2206,462,474,486,2/1/2017
14:04,108,1,1,2212,2175,2206,462,474,485,2/1/2017
14:09,108,1,1,2212,2175,2206,464,476,488,2/1/2017
14:14,108,1,1,2212,2175,2206,465,478,489,2/1/2017
14:19,108,1,1,2212,2175,2206,467,479,491,2/1/2017
14:24,108,1,1,2206,2175,2206,465,477,489,2/1/2017
14:29,108,1,1,2206,2175,2200,461,472,485,2/1/2017
14:34,108,1,1,2206,2175,2200,492,508,520,2/1/2017
14:39,108,1,1,2206,2175,2200,466,478,492,2/1/2017
14:44,108,1,1,2206,2175,2200,467,479,488,2/1/2017
14:49,108,1,1,2206,2168,2200,460,471,483,2/1/2017
14:54,108,1,1,2206,2168,2200,461,472,484,2/1/2017
14:59,108,1,1,2206,2168,2200,461,474,485,2/1/2017
15:04,108,1,1,2206,2168,2200,463,475,486,2/1/2017
15:09,108,1,1,2206,2168,2200,468,481,492,2/1/2017
15:14,108,1,1,2206,2168,2200,464,476,487,2/1/2017
15:19,108,1,1,2206,2168,2200,465,477,488,2/1/2017
15:24,108,1,1,2206,2168,2200,469,482,492,2/1/2017
15:29,108,1,1,2206,2168,2200,464,476,488,2/1/2017
15:34,108,1,1,2581,2175,2206,462,474,484,2/1/2017
15:39,108,1,1,2556,2175,2206,461,473,485,2/1/2017
15:44,108,1,1,2537,2168,2206,461,473,485,2/1/2017
15:49,108,1,1,2518,2175,2337,463,475,486,2/1/2017
15:54,108,1,1,2500,2175,2475,464,476,487,2/1/2017
15:59,108,1,1,2475,2168,2543,464,476,487,2/1/2017
16:04,108,1,1,2462,2168,2581,466,477,489,2/1/2017
16:09,108,1,1,2450,2168,2568,466,478,490,2/1/2017
16:14,108,1,1,2437,2168,2550,467,479,490,2/1/2017
16:19,108,1,1,2425,2168,2531,467,479,491,2/1/2017
16:24,108,1,1,2337,2175,2418,462,474,484,2/1/2017
16:29,108,1,1,2337,2175,2412,461,472,484,2/1/2017
16:34,108,1,1,2331,2175,2406,464,477,488,2/1/2017
16:39,108,1,1,2325,2175,2393,464,477,488,2/1/2017
16:44,108,1,1,2318,2175,2387,461,473,485,2/1/2017
16:49,108,1,1,2312,2175,2381,464,476,488,2/1/2017
16:54,108,1,1,2312,2175,2375,467,480,491,2/1/2017
16:59,108,1,1,2306,2175,2368,469,481,493,2/1/2017
17:04,108,1,1,2300,2175,2362,464,476,488,2/1/2017
17:09,108,1,1,2300,2175,2356,465,477,489,2/1/2017
17:14,108,1,1,2268,2175,2312,466,478,488,2/1/2017
17:19,108,1,1,2262,2175,2306,465,478,489,2/1/2017
17:24,108,1,1,2262,2175,2306,462,475,486,2/1/2017
17:29,108,1,1,2262,2175,2300,461,473,485,2/1/2017
17:34,108,1,1,2256,2175,2300,460,472,484,2/1/2017
17:39,108,1,1,2256,2175,2293,464,476,488,2/1/2017
17:44,108,1,1,2256,2175,2293,466,478,490,2/1/2017
17:49,108,1,1,2250,2175,2287,469,482,493,2/1/2017
17:54,108,1,1,2250,2175,2287,466,478,491,2/1/2017
17:59,108,1,1,2250,2175,2281,464,476,488,2/1/2017
18:04,108,1,1,2237,2175,2262,462,474,484,2/1/2017
18:09,108,1,1,2237,2175,2262,461,473,485,2/1/2017
18:14,108,1,1,2237,2175,2262,463,475,487,2/1/2017
18:19,108,1,1,2231,2175,2262,460,472,484,2/1/2017
18:24,108,1,1,2231,2175,2256,463,475,486,2/1/2017
18:29,108,1,1,2231,2175,2256,464,475,488,2/1/2017
18:34,108,1,1,2231,2175,2256,464,475,488,2/1/2017
18:39,108,1,1,2231,2175,2250,463,475,487,2/1/2017
18:44,108,1,1,2231,2175,2250,464,476,488,2/1/2017
18:49,108,1,1,2225,2175,2250,464,476,488,2/1/2017
18:54,108,1,1,2225,2181,2243,462,473,484,2/1/2017
18:59,108,1,1,2218,2181,2243,460,472,484,2/1/2017
19:04,108,1,1,2218,2181,2243,463,475,487,2/1/2017
19:09,108,1,1,2218,2181,2237,464,477,488,2/1/2017
19:14,108,1,1,2218,2181,2243,465,478,489,2/1/2017
19:19,108,1,1,2218,2181,2237,466,479,491,2/1/2017
19:24,108,1,1,2218,2181,2237,464,476,488,2/1/2017
19:29,108,1,1,2218,2181,2237,463,475,487,2/1/2017
19:34,108,1,1,2218,2181,2237,465,477,488,2/1/2017
19:39,108,1,1,2218,2181,2237,467,480,491,2/1/2017
19:44,108,1,1,2212,2181,2231,459,474,483,2/1/2017
19:49,108,1,1,2212,2181,2231,461,473,485,2/1/2017
19:54,108,1,1,2212,2181,2231,460,472,484,2/1/2017
19:59,108,1,1,2212,2181,2231,464,476,487,2/1/2017
