COUNTRY, TERMINAL, SENSOR,TEMPRED,TEMPYELLOW,TEMPBLUE, X, Y, Z, TIMESTAMPDATE, TIMESTAMPTIME
108,1,1,2619,2193,2225,461,476,485,1-31-2017,09:24
108,1,1,2231,2187,2225,469,482,492,1-31-2017,09:27
108,1,1,2231,2193,2225,471,485,496,1-31-2017,09:30
108,1,1,2231,2193,2225,467,480,491,1-31-2017,09:33
108,1,1,2231,2193,2225,467,479,490,1-31-2017,09:36
108,1,1,2231,2187,2225,474,487,498,1-31-2017,09:39
108,1,1,2231,2193,2225,473,486,497,1-31-2017,09:42
108,1,1,2231,2193,2225,470,483,494,1-31-2017,09:45
108,1,1,2231,2187,2225,469,481,493,1-31-2017,09:48
108,1,1,2231,2187,2225,469,481,492,1-31-2017,09:51
108,1,1,2231,2187,2218,465,477,487,1-31-2017,09:54
108,1,1,2225,2187,2218,463,476,487,1-31-2017,09:57
108,1,1,2225,2187,2218,465,478,489,1-31-2017,10:00
108,1,1,2225,2187,2218,466,479,490,1-31-2017,10:03
108,1,1,2225,2187,2218,466,479,490,1-31-2017,10:06
108,1,1,2225,2187,2218,466,478,490,1-31-2017,10:09
108,1,1,2225,2187,2218,467,479,490,1-31-2017,10:12
108,1,1,2225,2187,2218,469,482,493,1-31-2017,10:15
108,1,1,2225,2187,2218,469,482,493,1-31-2017,10:18
108,1,1,2225,2187,2218,466,478,490,1-31-2017,10:21
108,1,1,2225,2181,2218,463,475,484,1-31-2017,10:24
108,1,1,2225,2181,2218,463,476,487,1-31-2017,10:27
108,1,1,2225,2181,2218,465,479,490,1-31-2017,10:30
108,1,1,2225,2181,2218,467,480,491,1-31-2017,10:33
108,1,1,2225,2181,2218,467,480,490,1-31-2017,10:36
108,1,1,2225,2181,2218,465,477,489,1-31-2017,10:39
108,1,1,2225,2181,2218,465,477,489,1-31-2017,10:42
108,1,1,2225,2181,2218,467,479,490,1-31-2017,10:45
108,1,1,2225,2181,2218,469,482,492,1-31-2017,10:48
108,1,1,2225,2181,2218,469,482,493,1-31-2017,10:51
108,1,1,2225,2181,2218,464,476,486,1-31-2017,10:54
108,1,1,2225,2181,2218,464,477,488,1-31-2017,10:57
108,1,1,2225,2181,2218,464,477,488,1-31-2017,11:00
108,1,1,2225,2181,2212,462,474,486,1-31-2017,11:03
108,1,1,2225,2181,2212,462,474,486,1-31-2017,11:06
108,1,1,2225,2181,2212,465,477,489,1-31-2017,11:09
108,1,1,2225,2181,2212,468,480,492,1-31-2017,11:12
108,1,1,2218,2181,2212,468,481,492,1-31-2017,11:15
108,1,1,2218,2181,2212,467,480,492,1-31-2017,11:18
108,1,1,2218,2181,2212,465,477,490,1-31-2017,11:21
108,1,1,2225,2181,2218,463,475,485,1-31-2017,11:24
