COUNTRY, TERMINAL, SENSOR, RECORDNUMBER,TEMPRED,TEMPYELLOW,TEMPBLUE, X, Y, Z, TIMESTAMPDATE, TIMESTAMPTIME
108,003,02,0,85.6,85,85.6,321,458,310,1-28-2017,13:55
108,003,02,1,85.6,84.9,85.6,320,457,301,1-28-2017,13:58
108,003,02,2,85.6,85.2,85.6,325,452,309,1-28-2017,14:01
108,003,02,3,85.6,85.3,85.6,327,456,301,1-28-2017,14:04
108,003,02,4,84.9,85.1,84.9,330,456,307,1-28-2017,14:07
108,003,02,5,85.06,85.86,85.06,320,453,305,1-28-2017,14:10
108,003,02,6,84.08,83.9,84.08,318,450,315,1-28-2017,14:13
108,003,02,7,85.6,84.7,85.6,325,465,317,1-28-2017,14:16
108,003,02,8,85.69,85.52,85.69,321,460,319,1-28-2017,14:19
108,003,02,9,85.9,85.8,85.9,323,449,316,1-28-2017,14:22
108,003,02,10,86.3,87.3,86.3,324,459,323,1-28-2017,14:25
108,003,02,11,86.9,86.9,86.9,310,452,315,1-28-2017,14:28
108,003,02,12,87.36,87.36,87.36,308,450,309,1-28-2017,14:31
108,003,02,13,85.6,85.6,85.6,321,458,310,1-28-2017,14:34
108,003,02,14,85.6,85.6,85.6,320,457,301,1-28-2017,14:37
108,003,02,15,85.6,85.6,85.6,325,452,309,1-28-2017,14:40
108,003,02,16,85.6,85.6,85.6,327,456,301,1-28-2017,14:43
108,003,02,17,84.9,84.9,84.9,330,456,307,1-28-2017,14:46

